timestamp,request_id,source_image,target_image,combo_key,api_version,source_file_size_kb,target_file_size_kb,source_base64_size_kb,target_base64_size_kb,total_payload_size_mb,request_start_time,request_end_time,request_duration_seconds,http_status_code,success,timeout_occurred,error_type,error_message,response_content_length,response_content_type,api_generation_time,api_remaining_credits,api_request_id,detection_face_order,model_type,swap_type,hardware_type,source_faces_index,target_faces_index,credits_used,cost_per_request,previous_credits,output_file_saved,batch_number,session_start_time,test_type,api_endpoint_url,face_restore,face_upsample,codeformer_fidelity,all_request_parameters_json
2025-07-24T15:22:57.839641,v2_multiface_1753366977839,source_01.jpg,target_01.png,source_01_to_target_01,v2,41.12,3015.2,54.83,4020.27,3.98,2025-07-24T15:22:57.843368,2025-07-24T15:23:09.153996,11.311,200,True,False,,,628685,image/jpeg,3.061,575.7797046243,a298b8b1b6324df4e17169dbaa71620f,N/A,CodeFormer,face,N/A,"0,1,2,3,4","0,1,2,3,4",,,,True,11,2025-07-24T15:22:57.839184,multi_face,https://api.segmind.com/v1/faceswap-v2,codeformer-v0.1.0.pth,N/A,N/A,"{""source_faces_index"": [0, 1, 2, 3, 4], ""target_faces_index"": [0, 1, 2, 3, 4], ""face_restore"": ""codeformer-v0.1.0.pth"", ""base64"": false}"
2025-07-24T15:23:12.163574,v2_multiface_1753366992163,source_01.jpg,target_02.png,source_01_to_target_02,v2,41.12,2706.51,54.83,3608.69,3.58,2025-07-24T15:23:12.176508,2025-07-24T15:23:23.488895,11.312,200,True,False,,,562960,image/jpeg,3.067,575.7727836243,fc7f81b03c2bbd7986f95355aeef468b,N/A,CodeFormer,face,N/A,"0,1,2,3,4","0,1,2,3,4",0.006921000000033928,0.0001,575.7797046243,True,12,2025-07-24T15:22:57.839184,multi_face,https://api.segmind.com/v1/faceswap-v2,codeformer-v0.1.0.pth,N/A,N/A,"{""source_faces_index"": [0, 1, 2, 3, 4], ""target_faces_index"": [0, 1, 2, 3, 4], ""face_restore"": ""codeformer-v0.1.0.pth"", ""base64"": false}"
2025-07-24T15:23:26.500883,v2_multiface_1753367006500,source_01.jpg,target_03.png,source_01_to_target_03,v2,41.12,203.44,54.83,271.26,0.32,2025-07-24T15:23:26.503549,2025-07-24T15:23:34.168542,7.665,200,True,False,,,287161,image/jpeg,2.184,575.7681831243,811c050fdf8f3774c1f69928abddf9af,N/A,CodeFormer,face,N/A,"0,1,2,3,4","0,1,2,3,4",0.004600500000037755,0.0,575.7727836243,True,13,2025-07-24T15:22:57.839184,multi_face,https://api.segmind.com/v1/faceswap-v2,codeformer-v0.1.0.pth,N/A,N/A,"{""source_faces_index"": [0, 1, 2, 3, 4], ""target_faces_index"": [0, 1, 2, 3, 4], ""face_restore"": ""codeformer-v0.1.0.pth"", ""base64"": false}"
2025-07-24T15:23:37.179635,v2_multiface_1753367017179,source_01.jpg,target_04.png,source_01_to_target_04,v2,41.12,248.54,54.83,331.38,0.38,2025-07-24T15:23:37.183580,2025-07-24T15:23:45.056861,7.873,200,True,False,,,335012,image/jpeg,2.179,575.7649071243,a8e6f8a05819482edb8183520322cc13,N/A,CodeFormer,face,N/A,"0,1,2,3,4","0,1,2,3,4",0.0032760000000280343,0.0,575.7681831243,True,14,2025-07-24T15:22:57.839184,multi_face,https://api.segmind.com/v1/faceswap-v2,codeformer-v0.1.0.pth,N/A,N/A,"{""source_faces_index"": [0, 1, 2, 3, 4], ""target_faces_index"": [0, 1, 2, 3, 4], ""face_restore"": ""codeformer-v0.1.0.pth"", ""base64"": false}"
2025-07-24T15:23:48.064137,v2_multiface_1753367028064,source_01.jpg,target_05.png,source_01_to_target_05,v2,41.12,285.22,54.83,380.3,0.42,2025-07-24T15:23:48.067116,2025-07-24T15:23:56.187518,8.12,200,True,False,,,415179,image/jpeg,2.348,575.7616386243,a54f1f6ecd56b5092802731dfd42309c,N/A,CodeFormer,face,N/A,"0,1,2,3,4","0,1,2,3,4",0.0032684999999901265,0.0,575.7649071243,True,15,2025-07-24T15:22:57.839184,multi_face,https://api.segmind.com/v1/faceswap-v2,codeformer-v0.1.0.pth,N/A,N/A,"{""source_faces_index"": [0, 1, 2, 3, 4], ""target_faces_index"": [0, 1, 2, 3, 4], ""face_restore"": ""codeformer-v0.1.0.pth"", ""base64"": false}"
2025-07-24T15:23:59.195116,v2_multiface_1753367039195,source_01.jpg,target_07.png,source_01_to_target_07,v2,41.12,244.67,54.83,326.23,0.37,2025-07-24T15:23:59.197893,2025-07-24T15:24:10.311549,11.114,200,True,False,,,335469,image/jpeg,2.756,575.7581166243,cf1e41e18352d7de7257c60d7854bb62,N/A,CodeFormer,face,N/A,"0,1,2,3,4","0,1,2,3,4",0.003521999999975378,0.0,575.7616386243,True,16,2025-07-24T15:22:57.839184,multi_face,https://api.segmind.com/v1/faceswap-v2,codeformer-v0.1.0.pth,N/A,N/A,"{""source_faces_index"": [0, 1, 2, 3, 4], ""target_faces_index"": [0, 1, 2, 3, 4], ""face_restore"": ""codeformer-v0.1.0.pth"", ""base64"": false}"
2025-07-24T15:24:13.319300,v2_multiface_1753367053319,source_02.jpg,target_01.png,source_02_to_target_01,v2,265.91,3015.2,354.55,4020.27,4.27,2025-07-24T15:24:13.334591,2025-07-24T15:24:26.933658,13.599,200,True,False,,,629100,image/jpeg,3.192,575.7520026243,152d7ab6f81add3c4abce0945d9e0945,N/A,CodeFormer,face,N/A,"0,1,2,3,4","0,1,2,3,4",0.006114000000025044,0.0001,575.7581166243,True,17,2025-07-24T15:22:57.839184,multi_face,https://api.segmind.com/v1/faceswap-v2,codeformer-v0.1.0.pth,N/A,N/A,"{""source_faces_index"": [0, 1, 2, 3, 4], ""target_faces_index"": [0, 1, 2, 3, 4], ""face_restore"": ""codeformer-v0.1.0.pth"", ""base64"": false}"
2025-07-24T15:24:29.944090,v2_multiface_1753367069944,source_02.jpg,target_02.png,source_02_to_target_02,v2,265.91,2706.51,354.55,3608.69,3.87,2025-07-24T15:24:29.961294,2025-07-24T15:24:43.460605,13.499,200,True,False,,,562907,image/jpeg,3.242,575.7449841243,328855b42fd92275c936dee01b229c8b,N/A,CodeFormer,face,N/A,"0,1,2,3,4","0,1,2,3,4",0.007018499999958294,0.0001,575.7520026243,True,18,2025-07-24T15:22:57.839184,multi_face,https://api.segmind.com/v1/faceswap-v2,codeformer-v0.1.0.pth,N/A,N/A,"{""source_faces_index"": [0, 1, 2, 3, 4], ""target_faces_index"": [0, 1, 2, 3, 4], ""face_restore"": ""codeformer-v0.1.0.pth"", ""base64"": false}"
2025-07-24T15:24:46.471175,v2_multiface_1753367086471,source_02.jpg,target_03.png,source_02_to_target_03,v2,265.91,203.44,354.55,271.26,0.61,2025-07-24T15:24:46.475481,2025-07-24T15:24:55.067905,8.592,200,True,False,,,287130,image/jpeg,2.407,575.7401211243,76d908f910b6022528b320cdeefb6b8c,N/A,CodeFormer,face,N/A,"0,1,2,3,4","0,1,2,3,4",0.004863000000000284,0.0,575.7449841243,True,19,2025-07-24T15:22:57.839184,multi_face,https://api.segmind.com/v1/faceswap-v2,codeformer-v0.1.0.pth,N/A,N/A,"{""source_faces_index"": [0, 1, 2, 3, 4], ""target_faces_index"": [0, 1, 2, 3, 4], ""face_restore"": ""codeformer-v0.1.0.pth"", ""base64"": false}"
2025-07-24T15:26:33.622242,v2_multiface_1753367193622,source_01.jpg,target_01.png,source_01_to_target_01,v2,41.12,3015.2,54.83,4020.27,3.98,2025-07-24T15:26:33.626217,2025-07-24T15:26:45.176238,11.55,200,True,False,,,628685,image/jpeg,3.133,575.7342621243,a8b407dbcd692e048a036bfea76f98d9,N/A,CodeFormer,face,N/A,"0,1,2,3,4","0,1,2,3,4",0.005858999999986736,0.0001,575.7401211243,True,20,2025-07-24T15:26:33.621834,multi_face,https://api.segmind.com/v1/faceswap-v2,codeformer-v0.1.0.pth,N/A,N/A,"{""source_faces_index"": [0, 1, 2, 3, 4], ""target_faces_index"": [0, 1, 2, 3, 4], ""face_restore"": ""codeformer-v0.1.0.pth"", ""base64"": false}"
